question_number,unit_number,chapter_number,grammar_ref,question,choice_a,choice_b,choice_c,choice_d,answer
1,2(1),1,N4-1,このケーキ、おいしそうだから＿＿＿＿＿＿。,食べてみます,食べますみる,食べてみません,食べみます,A
2,2(1),1,N4-1,日本に来たら、いろいろな食べ物を＿＿＿といいですよ,食べみる,食べてみない,食べてみる,食べてみてください,C
3,2(1),1,N4-1,新しいアプリが便利かどうか、まず＿＿＿。,使ってみてください,使ってくださいみる,使みてください,使ってくださってみる,A
4,2(1),1,N4-1,この靴を買う前に、＿＿＿ほうがいいですよ。,はいてみた,はくてみた,はいてみる,はくてみる,A
5,2(1),1,N4-1,あたらしいジュースを＿＿＿＿。,のむみる,のみる,のんでみる,のってみる,C
6,2(1),1,N4-1,そのシャツを＿＿＿＿。,きてみます,きるみる,きるみます,きってみます,A
7,2(1),1,N4-1,あたらしいゲームを＿＿＿＿。,やるみましょう,やってみましょう,やるみてください,やったみましょう,B
8,2(1),1,N4-1,この映画、＿＿＿＿。,見てみてみたい,見てみるたい,見てみたい,見みたい,C
9,2(1),1,N4-1,そのボタンを＿＿＿＿＿。,押みましょう,押すみましょう,押してみましょう,押したみましょう,C
10,2(1),1,N4-1,私は宮崎に行ったことがないので、＿＿＿＿みたいです。,行く,行かない,行った,行って,D
11,2(1),1,N4-1,私は温泉に入ったことがありません。だから、温泉に＿＿＿＿みたいです。,入って,入ります,入りません,入った,A
12,2(1),1,N4-1,僕はスキーをしたことがありません。だから、スキーを＿＿＿＿みたいです。,します,して,しません,した,B
13,2(1),1,N4-1,私は雪が大好きです。だから、今年は雪まつりを＿＿＿＿みたいです。,見ます,見た,見て,見ません,C
14,2(1),1,N4-1,日本に旅行に来たので、着物を＿＿＿＿みたいです。,着ません,着ます,着った,着て,D
15,2(1),1,N4-1,日本のお酒はおいしいらしいです。だから、＿＿＿みたいです。,飲みません,飲まない,飲んで,飲んだ,C
16,2(1),2,N4-2,外は＿＿＿＿。,寒い,寒そうです,寒いから,寒いので,B
17,2(1),2,N4-2,明日は天気が＿＿＿＿＿。,よさそうです,よさます,よさみた,よかった,A
18,2(1),2,N4-2,見て！このケーキは＿＿＿そうです。,美味しいもの,美味しかった,美味しい,美味し,D
19,2(1),2,N4-2,この車は＿＿＿＿＿そうです。でも、古いです。,新し,新しい,新しくない,新しいい,A
20,2(1),2,N4-2,大下さんはバタバタしています。＿＿＿＿そうです。,忙しい,忙しくて,忙し,忙しくなかった,C
21,2(1),2,N4-2,お父さんは＿＿＿＿。でも、ぜんぜんきびしくありません。,きびしい,きびしそう,きびしくない,きびしくなかった,B
22,2(1),2,N4-2,あの犬は目がキラキラしています。＿＿＿＿。,嬉しいそうです,嬉しそうです,嬉しいだそうです,嬉しいなそうです,B
23,2(1),2,N4-2,このラーメン、見て！このみせのラーメンは＿＿＿＿。,おいそうです,おいしそうです,おいしいそうです,おいしいだそうです,B
24,2(1),2,N4-2,かばんがとても＿＿＿＿。でも、実は軽いです。,重いそうです,重そうです,重いなそうです,重いだそうです,B
25,2(1),2,N4-2,山の上の道は雪があって、＿＿＿＿＿。,危なそうです,暖かそうです,ひろそうです,せまそうです,A
26,2(1),2,N4-2,あの人はニコニコしています。＿＿＿＿＿。,怖そうです,怖いそうです,楽しそうです,楽しいそうです,C
27,2(1),2,N4-2,このパンは見た目がふわふわしていて、＿＿＿＿。,やわらかいそうです,やわらかそうです,やわらかいなさそうです,やわらかくなさそうです,B
28,2(1),2,N4-2,毎日運動しているので、あの人はとても＿＿＿＿。,健康そうです,健康なさそうです,健康になさそうです,健康だそうです,A
29,2(1),2,N4-2,あの人はかぜをひいていて、＿＿＿＿。,元気そうです,つまらなさそうです,つらそうです,痛そうです,C
30,2(1),2,N4-2,雪がふっています。今日はとても＿＿＿＿。,寒そうです,暑そうです,暇そうです,多そうです,A
31,2(1),2,N4-2,空がまっ黒です。雨が＿＿＿＿。,降りそうです,降りますそうです,降りたいです,降らそうです,A
32,2(1),2,N4-2,今日は道がこんでいるので、バスが＿＿＿＿。,遅れそうです,はやく着きそうです,走りそうです,運転しそうです,A
33,2(1),2,N4-2,その映画はおもしろそうだけど、＿＿＿＿。,時間がありそうです,時間がなさそうです,時間が長そうです,つまらなそうです,C
34,2(1),2,N4-2,一人で座って、ずっと下を向いているので、＿＿＿＿。,寂しなさそうです,寂しそうです,寂しくなさそうです,寂しいそうです,B
35,2(1),2,N4-2,あの人はガリガリなので、＿＿＿＿。でも、ボクシングのチャンピオンです。,弱いです,弱いそうです,弱そうです,弱いなそうです,C
36,2(1),3,N4-3,そのかばん、どこで＿＿＿＿？とてもかわいいですね。,買うんですか,買ったんですか,買いますんですか,買ってんですか,B
37,2(1),3,N4-3,"A：どうして＿＿＿＿＿んですか？
  B：すみません、寝坊しました。",来る,来ない,来た,来なかった,D
38,2(1),3,N4-3,これは何をするためのボタン＿＿＿＿？,なんですか,ですんですか,なんですんか,んですか,A
39,2(1),3,N4-3,"A：あれ？泣いている＿＿＿＿？
  B：いえ、違います。ゴミが目に入りました。",のです,んですか,ますんですか,か,B
40,2(1),3,N4-3,"A：暑そうですね。エアコンを＿＿＿＿＿？
  B：こわれているんです。",つけるんですか,つけないんですか,つけんですか,つけなんですか,B
41,2(1),3,N4-3,"A：どうして日本語を＿＿＿＿？
  B：旅行に行くからです。",勉強しているんですか,勉強していますんですか,勉強していないんですか,勉強していませんんですか,A
42,2(1),3,N4-3,"A：これ、先生に渡す＿＿＿＿？
  B：はい、プレゼントなんです",プレゼントんですか,プレゼントなんですか,プレゼントますか,プレゼントんです,B
43,2(1),3,N4-3,"A：今日は早く＿＿＿＿？
  B：はい、病院に行きます。",帰るんですか,行くんですか,帰りますんですか,行きますんですか,A
44,2(1),3,N4-3,"A：そのジャケット、おしゃれですね
  B：ありがとうございます。彼女に＿＿＿＿。",もらうんです,もらったんです,もらっているんです,もらっていたんです,B
45,2(1),3,N4-3,"A：大丈夫ですか？どうしたんですか？
  B：＿＿＿＿＿＿＿。",頭が痛いんです,頭が痛いなんです,頭が痛んです,頭が痛いです,A
46,2(1),3,N4-3,"A：料理あまりしないんですか？
  B：はい。＿＿＿＿＿。",下手んです,下手だんです,下手なんです,下手だったんです,C
47,2(1),3,N4-3,トイレは＿＿＿＿＿。,どこであるんですか,どこであるなんですか,どこにあるんですか,どこにあるなんですか,C
48,2(1),3,N4-3,"A：大丈夫ですか？どうしたんですか？
  B：＿＿＿＿＿＿＿。",トイレんです,トイレに行くんです,トイレに行ったんです,トイレに行きたいんです,D
49,2(1),3,N4-3,"A：また遅刻？
  B：すみません。電車が＿＿＿＿＿＿。",遅れるんです,遅れたんです,遅れますんです,遅れてんです,B
50,2(1),3,N4-3,"A：明日カラオケ行きませんか？
  B：あっ、明後日＿＿＿＿＿＿。",テストがあるんです,テストが終わったんです,テストがあるです,テストが終わるです,A
51,2(1),3,N4-3,"A：もしよかったら、週末遊びませんか？
  B：あっ、＿＿＿＿＿＿＿。",予定んです,予定なんです,予定があるんです,予定がいるんです,C
53,2(1),3,N4-3,"A:昨日、どうして来なかったんですか。
  B: すみません。熱が＿＿＿＿＿。(reason)",あったんです,あって,あります,ありますん,A
54,2(1),3,N4-3,"A:山田さんは歌わないんです。
  B:ええ、歌が＿＿＿＿＿。(reason)",下手い,下手な,下手なんです,下手んで,C
55,2(1),3,N4-3,"A:どうしたんですか。
  B: ちょっと気分が＿＿＿んです。",悪て,悪んで,悪くない,悪い,D
56,2(1),3,N4-3,"あれ、山田さん、今日仕事は？
  今日は＿＿＿＿。",休みなんです,休みませんです,休みしたいです,休み,A
